사업장명,도로명소재지,대표업종,종
(주)영천알씨,경상북도 영천시 북안면 신효로 134,금속류 해체  선별 및 원료 재생업,5종
(주)그린월드,경상북도 영천시 도남공단3길 2-1 (도남동 외 2필지),지정 폐기물 처리업,4종
SM화진(주) 3공장,경상북도 영천시 도남공단길 16 (도남동),기타 제품 제조업,4종
아주농산,경상북도 영천시 서당길 25-75  (도남동),천연 및 혼합조제 조미료 제조업,4종
현철유지,경상북도 영천시 청통면 금송로 711-37, ,5종
남양캐미칼,경상북도 영천시 칠백로 808-3 (도남동),그외 기타 분류안된 화학제품 제조업,5종
(주)세운티.엔.에스 2공장,경상북도 영천시 망정동 11-5 2필지 ,유리섬유 및 광학용 유리 제조업,5종
한라환경,경상북도 영천시 청통면 용내길 139-14,비금속원료 재생업,5종
(주)전문열처리,경상북도 영천시 고경면 동도길 50-53,도금  착색 및 기타 표면처리강재 제조업,4종
(주)월광금속,경상북도 영천시 대창면 한제길 67-12,알루미늄주물 주조업,4종
(주)옥천당 영천지점,경상북도 영천시 임고면 황강공단길 15-4,한의약품 제조업,5종
(주)에스피켐텍,경상북도 영천시 금호읍 도남공단1길 5-35,기타 기초 무기화합물 제조업,4종
유티씨우주산업(주),경상북도 영천시 청통면 보성공단길 14,분사기 및 소화기  제조업,4종
에스아이이(주),경상북도 영천시 도남길 16-12 (도남동),기타 기계 및 장비 제조업,5종
머텍리소스,경상북도 영천시 금호읍 오계공단길 8,그 외 기타 분류 안된 화학제품 제조업,5종
영천켐 주식회사,경상북도 영천시 칠백로 808-7 (도남동),지정 폐기물 처리업,5종
제이케이산업,경상북도 영천시 청통면 용호길 81,주철관 제조업,5종
(주)한강바이오디젤,경상북도 영천시 화남면 안천리 38 ,지정 외 폐기물 처리업,5종
(주)팔미스메탈,경상북도 영천시 채신2공단길 53 (채신동), ,4종
보성엔지니어링,경상북도 영천시 채신1공단길 74-16 (채신동),강주물 주조업,4종
(주)월드케이,경상북도 영천시 금호읍 칠백로 284-30,금속단조제품 제조업,5종
대한수지,경상북도 영천시 도들앞길 53 (도동), ,4종
(주)우진화학,경상북도 영천시 금호읍 오계공단길 33-11,기초유기화학물질 제조업,5종
성림플라스틱,경상북도 영천시 청통면 용내길 139-10,비금속원료 재생업,4종
(주)금강알씨,경상북도 영천시 화남면 한천길 131-31,정형 내화 요업제품 제조업,4종
(주)파워텍,경상북도 영천시 금호읍 오계공단길 33-10,그외 기타 분류안된 화학제품 제조업,4종
(주)정우화학,경상북도 영천시 북안면 운북로 1851,계면활성제 제조업,5종
(주)오성기공 영천공장,경상북도 영천시 임고면 매호운천길 80,전동기 및 발전기 제조업,4종
대광스프링,경상북도 영천시 금호읍 칠백로 298,금속 스프링 제조업,5종
(주)부건이엔씨,경상북도 영천시 금호읍 오계공단길 1-53,석유정제품 제조업,5종
(주)앤씨티,경상북도 영천시 청통면 용내길 67-32,지정 폐기물 처리업,5종
명진케미칼,경상북도 영천시 청통면 청통로 428-4, ,5종
SM화진(주)6공장,경상북도 영천시 도남공단1길 5-28 (도남동),자동차부품 제조업,5종
유진정밀(주),경상북도 영천시 칠백로 754 (도남동),기타 자동차부품 제조업,4종
(주)세화정유,경상북도 영천시 금호읍 570 , ,5종
아이에스,경상북도 영천시 북안면 임포리 154-2   산8-1  내포리 산21-8 ,금속 조립구조재 제조업,4종
혜원영농조합법인,경상북도 영천시 청통면 청통로 428-5,제재 및 목재 가공업,5종
영창바이오,경상북도 영천시 오수5길 128  (오수동   409-23),기타 비료 및 질소화합물 제조업,4종
(주)동서,경상북도 영천시 채신2공단길 72-5 (채신동),그외 기타 제품 제조업,5종
토영산업,경상북도 영천시 채신2공단길 65 (채신동),특수직물 및 기타 직물 직조업,5종
(주)성진케미칼,경상북도 영천시 채신동 152-3-2 ,기타 제품 제조업,5종
라인메탈,경상북도 영천시 채신1공단길 74-42 (채신동), ,5종
(주)대호,경상북도 영천시 대창면 한제길 12-15, ,5종
(주)충남목재,경상북도 영천시 북안면 대경로 2166-114,제재 및 목재 가공업,5종
(주)우성케미칼 제3공장,경상북도 영천시 북안면 조암길 70,가공 및 재생 플라스틱원료 생산업,5종
(주)한국폴리텍,경상북도 영천시 화산면 장수로 1110-21,비금속류 원료 재생업,5종
중원산업,경상북도 영천시 대창면 강회2길 108,폐기물 처리업,5종
(주)호남금속,경상북도 영천시 대창면 선진길 30-1,강주물 주조업,5종
태영산업,경상북도 영천시 고경면 호국로 575-134,지정 외 폐기물 처리업,5종
(주)삼정,경상북도 영천시 고경면 호국로 1516-89,폐기물 처리업,5종
명성그리드,경상북도 영천시 북안면 대원당길 68-9,기타 섬유제품 제조업,5종
백경,경상북도 영천시 대창면 금창로 554,플라스틱제품 제조업,5종
팩프랜드,경상북도 영천시 도남길 16-14 (도남동),플라스틱제품 제조업,5종
영성 PLT,경상북도 영천시 도남공단3길 28-35 (도남동),금속캔 및 기타 포장용기 제조업,5종
(주)앤씨티,경상북도 영천시 청통면 용내길 67-32,지정 폐기물 처리업,5종
(주)덕원열처리,경상북도 영천시 금호읍 칠백로 284-21,금속 열처리업,5종
농업회사법인(주)코리아식품,경상북도 영천시 고경면 상계로 178-7, ,5종
(주)수창,경상북도 영천시 채신1공단길 63 (채신동),자동차 차체용 부품 제조업,5종
영천축산업협동조합 경제사업장 간이지점,경상북도 영천시 명산길 22 (오미동),동물용 사료 및 조제식품 제조업,5종
(주)뉴에코,경상북도 영천시 고경면 거곡로 227-26,지정 폐기물 처리업,5종
(주)성화리소스,경상북도 영천시 고경면 거곡로 227-27,폐기물 처리업,5종
주식회사 석계특장,경상북도 영천시 고경면 호국로 1433-20, ,5종
거양산업,경상북도 영천시 청통면 송천리 203-5 585번지 , ,5종
(주)세운아이엔티(제2공장),경상북도 영천시 대창면 한제길 20,그외 기타 자동차 부품 제조업,5종
(주)유브이월드,경상북도 영천시 고경면 가수길 15, ,5종
디제이플라텍,경상북도 영천시 대창면 용대로 968-26,플라스틱 선  봉  관 및 호스 제조업,5종
오성케미칼(주),경상북도 영천시 금호읍 금창로 208-214, ,4종
(주)베스타,경상북도 영천시 대창면 한제길 67-61,그외 기타 특수목적용 기계 제조업,4종
(주)구영테크영천제2공장지점,경상북도 영천시 북안면 돌할매로 17-31, ,4종
(주)윈코,경상북도 영천시 금호읍 오계공단길 1-57, ,5종
(주)체리푸드,경상북도 영천시 금호읍 금창로 165,기타 식품 제조업,4종
유기성폐기물 광역 에너지화시설,경상북도 영천시 금호읍 칠백로 713,기타 발전업,3종
성진,경상북도 영천시 언하공단1길 7 (언하동),자동차부품 제조업,5종
(주)에스피그린폴,경상북도 영천시 금호읍 금창로 208-60,폴리스티렌 발포 성형제품 제조업,4종
주식회사 현대그린텍,경상북도 영천시 청통면 신덕길 62,폐기물 처리업,5종
은광인더스트리,경상북도 영천시 금호읍 오계공단길 1-13,자동차 엔진용 부품 제조업,4종
대명영농조합법인,경상북도 영천시 고경면 청정길 118-29,기타 비료 및 질소화합물 제조업,4종
페녹스코리아(주),경상북도 영천시 금호읍 오계공단길 1-67,연 및 아연 제련  정련 및 합금 제조업,4종
(주)동일,경상북도 영천시 대창면 선진길 184-13, ,5종
(주)지엔에스,경상북도 영천시 채신1공단길 74-47 (채신동),치약  비누 및 기타 세제 제조업,5종
(주)경보테크,경상북도 영천시 대창면 한제길 67-65,기타 자동차 부품 제조업,5종
한울엔지니어링,경상북도 영천시 채신2공단길 68-9 (채신동),주형 및 금형 제조업,5종
그린수지자원,경상북도 영천시 화산면 용내길 289-30, ,5종
화경산업(주),경상북도 영천시 대창면 한제길 12-18,기계장비 조립용 플라스틱제품 제조업,5종
(주)금성산업,경상북도 영천시 채신1공단길 74-60 (채신동), ,5종
영창영농조합법인,경상북도 영천시 오수5길 134 (오수동),비료 및 질소화합물 제조업,5종
(주)에코그린필드,경상북도 영천시 고경면 차당실로 122-29, ,5종
유신포장공업(주),경상북도 영천시 본촌공단1길 22 (본촌동),골판지 및 골판지상자 제조업,5종
임고개발㈜,경상북도 영천시 임고면 방목길 34-2 (오션힐스영천컨트리클럽), ,4종
(주)청아냉동식품,경상북도 영천시 도남공단길 94-11 (봉동), ,4종
영천시체육시설사업소,경상북도 영천시 운동장로 60 (교촌동), ,4종
진보농산,경상북도 영천시 장수로 358-5 (서산동),천연 및 혼합조제 조미료 제조업,5종
