연번,업종명,업소명,소재지주소,위도,경도,우편번호
147,위탁급식영업,(주)비푸드 동일금속 지점,"경상북도 영천시 금호읍 금호로 6, 동일금속(주)",35.92812738,128.8618618,38881
148,위탁급식영업,고은함바식당,경상북도 영천시 시장로 121 (완산동),35.96398707,128.9435826,38894
149,위탁급식영업,새싹푸드,경상북도 영천시 도남공단3길 26 (주)화진 (도남동),35.92678464,128.9374883,38898
150,위탁급식영업,새싹푸드,"경상북도 영천시 도남공단길 16, 화진 (도남동)",35.92994771,128.9363953,38898
151,위탁급식영업,새싹푸드,경상북도 영천시 금호읍 영천산단로 155,35.9102983,128.9445945,38899
152,위탁급식영업,(주)씨제이프레시웨이 포레시아 임고,경상북도 영천시 임고면 신선로 549,36.04807956,128.9680261,38816
153,위탁급식영업,(주)씨제이프레시웨이 포레시아 금호,경상북도 영천시 금호읍 금창로 208-8,35.9167768,128.8833554,38882
154,위탁급식영업,신세계푸드 세원물산채신공장,경상북도 영천시 금호읍 영천산단로 340,35.91573261,128.9469416,38899
155,위탁급식영업,신세계푸드 세원이엔아이,"경상북도 영천시 도남공단2길 35, 세원이엔아이 (도남동)",35.93014901,128.9371624,38898
156,위탁급식영업,화산식당,"경상북도 영천시 칠백로 754, 유진정밀(주) (도남동)",35.9274104,128.9335285,38898
157,위탁급식영업,푸디스트 영천제이병원점,"경상북도 영천시 호국로 145, 영천제이병원 (망정동)",35.97692668,128.953051,38831
158,위탁급식영업,(주)성민푸드,"경상북도 영천시 금호읍 고수골길 22, 경상북도보건환경연구원",35.95359885,128.9057365,38874
159,위탁급식영업,세현푸드,경상북도 영천시 언하공단4길 29 (망정동),35.98395074,128.9605654,38829
