연번,시도,시군구,읍면동,리,지번,기타지번,위도 도,위도 분,위도 초,경도 도,경도 분,경도 초,취약지역유형,소유별,취약지역 지정사유 및 목적,지정일
61,경상북도,영천시,자양면,보현리,산163임,,36,8,22.799,129,0,27.6,토석류,사유림,계류내에 퇴적된 퇴적물이 쌓여있는 것으로 보이며 이미 상부계류에서 전석들도 많이 쓸려 내려온 것으로 보여짐. 때문에 집중호우시 피해가 우려되어 산사태 발생 우려지역으로 지정되어야 할 것으로 사료됨.,2015-07-20
62,경상북도,영천시,북안면,상리,산100임,,35,50,33,128,59,2.999,토석류,사유림,"계류 내 세굴, 침식발생구간이 일부 관찰되고 있으며 기존에 적치되어 있는 퇴적물로 인하여 계류의 흐름이 원활하지 않아 정리가 필요하다고 판단됨.",2018-12-21
63,경상북도,영천시,대창면,오길리,산115임,,35,52,0.599,128,55,25.1,토석류,사유림,중간부부터 최상부는 기반암지대이고 그 위로 큰 저수지(가곡지)존재함,2015-07-20
64,경상북도,영천시,신녕면,화남리,산32임,,36,4,8.299,128,46,7.6,토석류,사유림,중간부 부분까지 토석류가 실제 일어났던 지역,2015-07-20
65,경상북도,영천시,자양면,보현리,산231임,,36,7,46.799,129,2,46.5,토석류,사유림,계류부 인접 인가가 존재하고 있으며 강우 시 토사가 지속적으로 유실되고 있고 또한 전석과 자갈이 다수 분포하고 있어 집중호우 시 계류수의 유속과 유량이 증가할 경우 하부로 퇴적물이 유입될 가능성이 있으므로 산사태 발생 우려지역으로 선정해야 할 것으로 판단됨,2015-07-20
66,경상북도,영천시,자양면,보현리,2718구,,36,8,7.478,129,2,44.915,토석류,사유림,"계류 내 계류수가 항시 존재하고 집중호우로 인하여 현재 계류 곳곳에 퇴적물의 이동흔적이 남아있고, 특히 최단부 부근의 계상에는 상류에서 이동되어진 전석 및 자갈 등이 퇴적되어 있으므로 그대로 방치해 놓으면 강우에 의해 2차 피해가 우려됨.",2015-07-20
67,경상북도,영천시,화북면,정각리,4과,,36,9,19.399,128,59,49.9,토석류,사유림,"장기간 지속된 토사유출로 유로의 형상이 불안정한 상태였으며, 때문에 유수의 범람이 빈발하고 있었다. 계류의 퇴행이 진행되면서 암석편의 유출과 계류의 종·횡침식이 심화되고 있는 상태로, 유로의 협착부와 계간침식지, 지류와의 합류점에 적체된 토석이 호우 시 유출될 경우, 토석류와 같은 유동형 산사태의 발생이 우려되므로 산사태 발생 우려지역으로 선정해야 한다고 생각함",2015-07-20
68,경상북도,영천시,화남면,안천리,산2-1임,,36,5,28.599,128,51,58.5,토석류,사유림,전체적인 침식이 보이고 있으며 붕괴지가 곳곳에 나타나고 있으며 추가 붕괴가 있을 것으로 판단되어 산사태 발생 우려지역으로 선정이 필요 하다고 생각됨,2015-07-20
69,경상북도,영천시,화북면,정각리,산214-1임,,36,8,44.938,128,59,45.54,토석류,사유림,"계류 내 식생밀도는 높으나 계안침식, 표층유실로 인한 붕괴지가 존재하고 강우시 토사가 유출되며 계류 내 적치된 유송잡물과 함께 토석류화 될 수 있으므로 계류보전을 설치해 하부 인가, 도로를 보호하는 것이 적절하다 사료됨",2016-06-29
70,경상북도,영천시,고경면,청정리,산118임,산116-1,35,58,38.312,129,6,30.551,토석류,사유림,계류 내부로 퇴적물분포비율이 높고 계류수에 의한 유동된 흔적과 계안침식흔적이 관찰되고 표층유실로 인한 토사유출의 정도가 심각하므로 사방댐을 설치하는 것이 적절하다 판단됨,2016-06-29
71,경상북도,영천시,임고면,사리,567유,,36,2,52.7,129,3,55.099,토석류,사유림,지류 합류구간에서 퇴적물이 다량 적치되어 있으며 하부에 도로가 존재하여 재산피해가 예상됨에 따라 취약지역으로의 선정을 제안함.,2018-12-21
72,경상북도,영천시,화북면,입석리,산77임,,36,8,49.099,128,57,35.1,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 다수의 인가가 존재하나 그에 따른 예방사방시설물이 없어 강우 시 발생할 수 있는 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 있을 것으로 예상됨.,2014-09-06
73,경상북도,영천시,자양면,충효리,산48-1임,,36,5,52.299,129,4,16.4,토석류,사유림,계안 붕괴지는 비교적 적은 상태이나 계상에 퇴적물의 분포 비율이 높은 상태로 하부 인가로의 피해 발생이 우려되므로 산사태 발생 우려지역으로의 선정이 필요하다고 생각됨.,2015-07-20
74,경상북도,영천시,신녕면,연정리,산34,,36,4,49.813,128,49,0.586,토석류,사유림,사방사업시행,2018-12-28
75,경상북도,영천시,자양면,도일리,산13-1임,산8-1임 262전,36,6,53.834,129,5,8.288,토석류,사유림,사방시설설치,2019-12-20
76,경상북도,영천시,화북면,입석리,680천,,36,8,27.935,128,57,10.611,토석류,사유림,보현산 다목적댐의 만수위 상류부를 취약지역으로 선정하여 관리할 필요가 있는지역이라고 사료됨.,2015-07-20
77,경상북도,영천시,청통면,신원리,산136-3임,,36,0,48.824,128,45,40.459,토석류,사유림,"계류 내 붕괴지가 있고 침식, 세굴, 표층유실 등으로 인해 토사가 지속적으로 유실되고 있어 취약지역으로 선정해 관리할 필요가 있음",2017-06-29
78,경상북도,영천시,고경면,덕정리,산43-1임,,35,55,43.404,129,7,15.119,토석류,사유림,사면에서 지속적으로 토사와 암편이 유입되고 있으며 평소 유량이 많아 퇴적물의 유동이 잦다는 주민의견이 있음. 따라서 취약지역으로 지정하여 하부 축사와 인가의 인명ㆍ재산피해를 예방하고자 함.,2017-06-29
79,경상북도,영천시,임고면,사리,산186-1임,,36,2,42,129,5,2.5,토석류,사유림,"계류 내 퇴적물 적치 비율이 높고, 토석의 유동흔적이 관찰되고 있으므로 취약지역으로의 선정을 제안함.",2018-12-21
80,경상북도,영천시,대창면,구지리,산132-1,,35,51,44.581,128,52,54.647,토석류,사유림,좌안 사면의 경사가 급하며 사면의 모암의 풍화가 심하여 토석들이 계류로 지속적으로 유입되고 있음. 또한 붕괴지가 강우 등의 요인으로 인하여 확장될 가능성이 있어 취약지역으로의 선정이 필요하다고 사료됨.,2015-07-20
81,경상북도,영천시,고경면,삼포리,산103-2 임,,36,1,50.099,129,7,20,토석류,사유림,계류가 전체적으로 황폐화되어 있으며 계속 진행중,2015-07-20
82,경상북도,영천시,화북면,입석리,662구,,36,8,42.099,128,58,12.6,토석류,사유림,지정,2014-09-06
83,경상북도,영천시,자양면,용산리,산15-1임,,36,5,27.099,129,2,6.1,토석류,사유림,"본 계류는 황폐화가 진행되고 있는 유역으로 계류내 퇴적물인 전석과 자갈이 퇴적되어 있으며, 붕괴가 발생한 상태이며, 집중호우시 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역으로 판단되어 산사태 발생 우려지역으로의 선정이 필요하다고 생각됨",2015-07-20
84,경상북도,영천시,자양면,신방리,산38임,,36,4,10.699,129,4,56.9,토석류,사유림,하부에 마을이 형성되어 다수의 인가들이 위치하고 있으며 토석류의 발생 가능성이 있는 지역으로 산사태 발생 우려지역으로의 선정 및 관리가 필요하다고 사료됨.,2015-07-20
85,경상북도,영천시,임고면,수성리,산115-1임,,36,3,18.3,129,8,8.599,토석류,사유림,"조사 시점부근으로 퇴적지가 발달하였으며 계안에 표층유실, 침식 등 위험요소가 관찰되므로 취약지역으로의 선정을 제안함.",2018-12-21
86,경상북도,영천시,화북면,정각리,산100-3 산240구,1400대,36,7,53.276,128,58,58.358,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
87,경상북도,영천시,고경면,도암리,산43-3 임,,35,59,58.176,129,0,8.491,토석류,사유림,수류탄 교장이기 때문에 폭발 후 하부로 토석류가 발생할 수 있으므로 사방댐으로 하부의 인가 보호,2015-07-20
